Thème,Question,A1,A2,A3,A4,Réponse,Temps (s),,
Le chocolat,La période au cours de laquelle 80% de la récolte mondiale de cacao est réalisée est de,Avril à septembre,Juin à novembre,Octobre à mars,Mars à août,3,60,,simpson-chocolat.jpg
Le chocolat,Comment s'appelle le fruit du cacaoyer ?,La fève,La cabosse,La calebasse,La gousse,2,60,,
Le chocolat,Le chocolat blanc ne contient pas :,De vanille,De cacao,De beurre de cacao,De lait,2,60,,
Le chocolat,"Ruth Wakefield, l’Américaine qui inventa le cookie aux pépites de chocolat, vendit sa recette à Nestlé en échange…",d'un dollar et d'un approvisionnement en chocolat Nestlé à vie,d'un poste pour son mari dans une usine Nestlé,de 1000 dollars,de 100 000 dollars,1,40,,
Le chocolat,"Combien de pourcentage de cacao doit contenir un chocolat noir au minimum, selon les règlements européens ?",33%,48%,62%,84%,2,40,,
Le chocolat,A quelle marque ce logo appartient-il ?,Lindt,Frey,Ferrero,Suchard,1,40,logo.png,
Le chocolat,Qu'a inventé Conrad Van Houten en 1828 ?,Les pralines en chocolat,Les truffes en chocolat,Le chocolat en tablettes,Le chocolat en poudre,4,40,,
Le chocolat,Combien de kilos de chocolat un français consomme-t-il par an ?,3,4,6,7,4,40,,
Le chocolat,A quelle température le chocolat noir devient-il liquide ?,26 degrés,32 degrés,45 degrés,61 degrés,3,40,,
Le chocolat,Quel pays est le premier producteur mondial de cacao ?,Côte d'Ivoire,Indonésie,Nigéria,Brésil,1,40,,
Art et littérature,Combien pèse la Tour Eiffel ?,3 300 tonnes,5 500 tonnes,7 700 tonnes,10 100 tonnes,4,30,,simpson-art.jpeg
Art et littérature,De qui Sganarelle est-il le valet dans l'œuvre de Molière ?,De Don Juan,Du malade imaginaire,Du misanthrope,Du bourgeois gentilhomme,1,30,,
Art et littérature,Qui est blanquette dans l'œuvre d'Alphonse Daudet ?,Une brebis,Une chèvre,Une petite fille,Une mule,2,30,,
Art et littérature,Qui a peint ce tableau ?,Jacques-Louis David,Eugène Delacroix,Théodore Géricault,Antoine-Jean Gros,1,30,tableau.jpg,
Art et littérature,Lequel de ces commerces n'existe pas au Chemin de Traverse ?,Pirouette et Badin,Florian Fortarôme,La Ménagerie magique,Ocullus Books,4,30,,
Art et littérature,Quel est l'intru ?,Averell,Joe,Jim,William,3,30,,
Art et littérature,De quelle œuvre Shakespeare est-il l'auteur ?, Les chants du crépuscule,Le marchand de Venise,La foire aux vanités,Le vent dans les saules,2,30,,
Art et littérature,"A qui est ce vers ""Je vis, je meurs, je me brûle et me noie"" ?",Joachim du Bellay,Louise Labé,Alfred de Musset,Alphonse de Lamartine,2,30,,
Art et littérature,Dans lequel de ces romans d'Agatha Christie n'intervient pas Hercule Poirot ?,Le Crime de l'Orient-Express,Meurtre en Mésopotamie,Cartes sur table,Le Major parlait trop,4,30,,
Art et littérature,"Quelle taille fait le Burj Khalifa, la plus haute tour du monde ?",762 mètres,828 mètres,934 mètres,1000 mètres,2,30,,
Technologie et Internet,En quelle année est sorti le premier iPhone ?,2005,2006,2007,2008,3,30,,simpson-technology.jpg
Technologie et Internet,"A quoi correspond ""IP"" dans ""adresse IP"" ?",Internet Protocol,Internet Proxy,Internet Postal,Internet Processing,1,30,,
Technologie et Internet,Quel est le nom de l'assistant personnel digital de Microsoft ?,Corana,Cortina,Cortana,Corina,3,30,,
Technologie et Internet,"Combien y a-t-il de résultats pour la recherche ""Comment rater son bac"" dans Google ?",Environ 271 000,Environ 960 000,Environ 1 435 000,Environ 2 800 000,4,30,,
Technologie et Internet,Quel est ce Windows ?,Windows XP,Windows 98,Windows Vista,Windows 7,1,30,windows.png,
Technologie et Internet,Laquelle de ces franchises n'est pas de Nintendo ?,Sonic,Super Mario,Legend of Zelda,Metroid,1,30,,
Technologie et Internet,Quel fut le tout premier objet acheté sur un site de vente en ligne ?,Une pizza Pizza Hut,Un CD de Sting,Une veste collector de Michael Jackson,Une Bible,2,30,,
Technologie et Internet,Quelle proportion des couples américains formés en 2017 se sont rencontrés en ligne ?,29%,39%,49%,59%,2,30,,
Technologie et Internet,Quelle a été la série originale la plus regardée sur Netflix en 2019 ?,Umbrella Academy,Sex Education,La Casa de Papel,Stranger Things,4,30,,
Technologie et Internet,Quel mot de passe est le plus utilisé en France ?,azerty,123456,motdepasse,111111,2,30,,
Divertissement et TV,Quel est l'autre nom du moonwalk ?,Le backpull,Le backslide,Le backwalk,Le backdance,2,30,,simpson-divertissement.png
Divertissement et TV,Qui a gagné la saison 3 de la Star Academy ?,Gregory Lemarchal,Nolwenn Leroy,Magalie Vaé,Elodie Frégé,4,30,,
Divertissement et TV,Quelle émission TV présente Bernard Pivot en 1973 ?,Apostrophes,Bouillon de culture,La Grande Interro,Ouvrez les guillemets,4,30,,
Divertissement et TV,Qui est le plus jeune milliardaire du monde selon Forbes ?,Kylie Jenner,Evan Spiegel,John Collison,Mark Zuckerberg,1,30,,
Divertissement et TV,Qui éteint la lampe à la fin du générique de la série Friends ?,Chandler,Joey,Rachel,Monica,4,30,,
Divertissement et TV,Qui est cette influenceuse TikTok ?,Yeuxvert (@yeuxvert),Lenna Vivas (@lenna.vivas),Lea Elui Ginet (@leaelui),Mademoiselle Gloria (@mademoisellegloria),3,30,influenceuse-tiktok.jpg,
